variant,model,f1_macro,std
-comp,logreg,0.5953750389044506,0.07086073809467139
-comp,lgbm,0.5229891418083639,0.12211975527667382
-soc,logreg,0.5862615774174568,0.09982892891679392
-soc,lgbm,0.5735768603031077,0.14199219853560746
-sym,logreg,0.570848591137216,0.12359484310602092
-sym,lgbm,0.6339853240782033,0.12491317848511613
full,logreg,0.5848193311222694,0.11730931546766761
full,lgbm,0.5522858831748506,0.09004133568847968
