model,frac,f1_macro,std,n_folds
logreg,0.25,0.606227416003229,0.15171294499519644,5
logreg,0.5,0.5513512413512414,0.10874331098733862,5
logreg,0.75,0.6171120212552641,0.11000837660805443,5
logreg,1.0,0.602699062781485,0.07993850153553957,5
lgbm,0.25,0.4671507648401555,0.1831069884121302,5
lgbm,0.5,0.5543808637906655,0.10558184836548291,5
lgbm,0.75,0.5892358107611985,0.08018988363039857,5
lgbm,1.0,0.6128665776104106,0.06505424084028141,5
