task,model,seed,rep,f1_macro,mcc
T2,logreg,0,0,0.5978260869565217,0.5183262912547352
T2,lgbm,0,0,0.47549019607843135,0.32519118898313526
T2,dummy,0,0,0.3666666666666667,0.1075244782248289
T2,logreg,0,0,0.45231481481481484,0.2511100325757851
T2,lgbm,0,0,0.4722222222222222,0.17704678971739496
T2,dummy,0,0,0.29528985507246375,-0.06957981386033095
T2,logreg,0,0,0.41717948717948716,0.33425786590955747
T2,lgbm,0,0,0.3791208791208791,0.2776243093922652
T2,dummy,0,0,0.2791666666666667,0.06021370780590418
T2,logreg,0,0,0.325,0.072803296761355
T2,lgbm,0,0,0.40346834829008005,0.200015846178626
T2,dummy,0,0,0.35833333333333334,0.1075244782248289
T2,logreg,0,0,0.36,0.2991202346041056
T2,lgbm,0,0,0.4141447368421053,0.3314118617247829
T2,dummy,0,0,0.24710144927536232,0.06954023290218914
T2,logreg,0,1,0.4923514815355423,0.3864977485182725
T2,lgbm,0,1,0.3469079939668175,0.08032711545197999
T2,dummy,0,1,0.28091787439613525,0.07099981006156218
T2,logreg,0,1,0.38202898550724634,0.19510707813336675
T2,lgbm,0,1,0.3466666666666667,0.02785923753665689
T2,dummy,0,1,0.18695652173913044,-0.07881226395581435
T2,logreg,0,1,0.51,0.40673471492206725
T2,lgbm,0,1,0.38855820105820105,0.20357807443912243
T2,dummy,0,1,0.22083333333333333,0.012902937386979467
T2,logreg,0,1,0.5115914786967418,0.37220117326696245
T2,lgbm,0,1,0.3706896551724138,0.07725816457621726
T2,dummy,0,1,0.3416666666666667,0.06021370780590418
T2,logreg,0,1,0.4686285936285936,0.24695039925673987
T2,lgbm,0,1,0.5100644122383253,0.291574718652171
T2,dummy,0,1,0.30000000000000004,0.1075244782248289
T2,logreg,0,2,0.35219941348973605,0.2860794861366921
T2,lgbm,0,2,0.4875650665124349,0.28265212031061915
T2,dummy,0,2,0.2758454106280193,0.07099981006156218
T2,logreg,0,2,0.325,0.08618020139997068
T2,lgbm,0,2,0.3225274725274725,0.06678832071683631
T2,dummy,0,2,0.2375,0.06021370780590418
T2,logreg,0,2,0.14814814814814814,-0.16365767230190478
T2,lgbm,0,2,0.3277056277056277,0.03910858648651055
T2,dummy,0,2,0.29583333333333334,0.20214601906267832
T2,logreg,0,2,0.4571969696969697,0.35605357385744413
T2,lgbm,0,2,0.5149470899470899,0.4509377115855606
T2,dummy,0,2,0.20416666666666666,-0.034407833031945244
T2,logreg,0,2,0.32113289760348585,0.08338958151333628
T2,lgbm,0,2,0.3107456140350877,0.11226303224766389
T2,dummy,0,2,0.28043478260869564,0.16844189747419144
T2,logreg,1,0,0.26216931216931216,0.025619874264665138
T2,lgbm,1,0,0.34203296703296704,0.20743715347439398
T2,dummy,1,0,0.19424964936886396,-0.04030984912973072
T2,logreg,1,0,0.319551282051282,0.12552105811670286
T2,lgbm,1,0,0.20655270655270655,-0.009832857309700379
T2,dummy,1,0,0.16666666666666666,-0.12902937386979468
T2,logreg,1,0,0.29864864864864865,0.2272959195506868
T2,lgbm,1,0,0.3616666666666667,0.14982771940653472
T2,dummy,1,0,0.263768115942029,0.11785968470219323
T2,logreg,1,0,0.4434984520123839,0.3656523724229935
T2,lgbm,1,0,0.4073236132059661,0.3067426391886777
T2,dummy,1,0,0.31666666666666665,0.15483524864375361
T2,logreg,1,0,0.3308080808080808,0.11633598783409375
T2,lgbm,1,0,0.3672619047619048,0.26429741834606335
T2,dummy,1,0,0.2801724137931034,0.1741134015122537
T2,logreg,1,1,0.35229885057471266,0.08731899695074982
T2,lgbm,1,1,0.3567632850241546,0.30732354123680916
T2,dummy,1,1,0.24166666666666667,-0.034407833031945244
T2,logreg,1,1,0.42519002736394046,0.25026887454387103
T2,lgbm,1,1,0.4920288045288046,0.28683080388175825
T2,dummy,1,1,0.21666666666666667,-0.07411791955167572
T2,logreg,1,1,0.31186868686868685,0.16716634802162023
T2,lgbm,1,1,0.43652452619843923,0.19856407112755114
T2,dummy,1,1,0.18695652173913044,-0.07881226395581435
T2,logreg,1,1,0.31746031746031744,0.1693446897645226
T2,lgbm,1,1,0.2361111111111111,0.059343356806099194
T2,dummy,1,1,0.26884057971014497,0.11899106518819029
T2,logreg,1,1,0.46935286935286935,0.27899705983354367
T2,lgbm,1,1,0.5363669590643274,0.372854870809557
T2,dummy,1,1,0.2583333333333333,0.1075244782248289
T2,logreg,1,2,0.34365079365079365,0.16121587470975554
T2,lgbm,1,2,0.3669117647058824,0.13823625776154158
T2,dummy,1,2,0.3375,0.20214601906267832
T2,logreg,1,2,0.5724867724867724,0.3641707303664244
T2,lgbm,1,2,0.5163401253918495,0.2777090045326898
T2,dummy,1,2,0.18188405797101448,-0.07881226395581435
T2,logreg,1,2,0.2986453201970444,0.22947638132794315
T2,lgbm,1,2,0.34247648902821315,0.18637446482225262
T2,dummy,1,2,0.275,0.15483524864375361
T2,logreg,1,2,0.23987854251012145,0.0373113672553306
T2,lgbm,1,2,0.2751279239766082,0.09066928292470475
T2,dummy,1,2,0.24202898550724639,0.06954023290218914
T2,logreg,1,2,0.4091388602224515,0.2264660369119025
T2,lgbm,1,2,0.6183658170914543,0.34660077303488335
T2,dummy,1,2,0.36250000000000004,0.19588307310085729
T2,logreg,2,0,0.4081732108047897,0.2696033958788378
T2,lgbm,2,0,0.5376811594202899,0.5044018894983209
T2,dummy,2,0,0.23333333333333334,0.06021370780590418
T2,logreg,2,0,0.3415861513687601,0.16949742066723153
T2,lgbm,2,0,0.309492231906025,0.10818297241876668
T2,dummy,2,0,0.17028985507246375,-0.116439688500962
T2,logreg,2,0,0.19090909090909092,-0.050714085426626525
T2,lgbm,2,0,0.32575757575757575,0.1435184424171484
T2,dummy,2,0,0.25416666666666665,0.1075244782248289
T2,logreg,2,0,0.5669466403162056,0.45124343073210593
T2,lgbm,2,0,0.48534186401833457,0.43300032173781355
T2,dummy,2,0,0.263768115942029,0.11899106518819029
T2,logreg,2,0,0.475,0.26756981232226307
T2,lgbm,2,0,0.4875,0.3347120138752245
T2,dummy,2,0,0.24166666666666667,0.06021370780590418
T2,logreg,2,1,0.36752136752136755,0.1844962255863502
T2,lgbm,2,1,0.3358918128654971,0.21420441439480817
T2,dummy,2,1,0.47916666666666663,0.2967675599005278
T2,logreg,2,1,0.28205128205128205,0.11171828017298574
T2,lgbm,2,1,0.3435897435897436,0.016416621378514948
T2,dummy,2,1,0.16521739130434782,-0.116439688500962
T2,logreg,2,1,0.44285714285714284,0.3681374251328894
T2,lgbm,2,1,0.4666009852216749,0.3139424881291214
T2,dummy,2,1,0.275,0.15483524864375361
T2,logreg,2,1,0.364010989010989,0.11706424688002005
T2,lgbm,2,1,0.40476190476190477,0.1350848024218844
T2,dummy,2,1,0.22028985507246376,0.020089400616187972
T2,logreg,2,1,0.4606019358741682,0.21829749237687457
T2,lgbm,2,1,0.5817460317460317,0.32316507210689205
T2,dummy,2,1,0.2583333333333333,0.012902937386979467
T2,logreg,2,2,0.39989973262032086,0.180450709915933
T2,lgbm,2,2,0.3431372549019608,0.2554341001461373
T2,dummy,2,2,0.22028985507246376,0.024139935420931145
T2,logreg,2,2,0.30036630036630035,0.08398921201608088
T2,lgbm,2,2,0.27050264550264547,-0.136190126631667
T2,dummy,2,2,0.225,0.012902937386979467
T2,logreg,2,2,0.3863636363636363,0.3258563773650017
T2,lgbm,2,2,0.47119047619047616,0.2776268366728645
T2,dummy,2,2,0.25869565217391305,0.11899106518819029
T2,logreg,2,2,0.26102403343782654,0.04365949847537491
T2,lgbm,2,2,0.45944444444444443,0.22758642338790167
T2,dummy,2,2,0.2791666666666667,0.15483524864375361
T2,logreg,2,2,0.3983516483516484,0.18458701769826483
T2,lgbm,2,2,0.41507936507936505,0.23162475125257925
T2,dummy,2,2,0.2583333333333333,0.1075244782248289
T2,logreg,3,0,0.6321428571428571,0.5330072694864986
T2,lgbm,3,0,0.26666666666666666,0.08560557342528223
T2,dummy,3,0,0.21666666666666667,0.012902937386979467
T2,logreg,3,0,0.41814814814814816,0.2853026457821284
T2,lgbm,3,0,0.26683501683501687,0.04677289216287809
T2,dummy,3,0,0.18695652173913044,-0.06957981386033095
T2,logreg,3,0,0.3796296296296296,0.25900605529518844
T2,lgbm,3,0,0.4217592592592593,0.09405264874599814
T2,dummy,3,0,0.2583333333333333,0.1075244782248289
T2,logreg,3,0,0.3740253411306043,0.29831549203360685
T2,lgbm,3,0,0.3979885057471264,0.47441892224382365
T2,dummy,3,0,0.24710144927536232,0.06954023290218914
T2,logreg,3,0,0.485727969348659,0.3245012329611275
T2,lgbm,3,0,0.634447004608295,0.41740788750391045
T2,dummy,3,0,0.2583333333333333,0.1075244782248289
T2,logreg,3,1,0.4023809523809524,0.3527851749109331
T2,lgbm,3,1,0.42435221783047866,0.40669943730588404
T2,dummy,3,1,0.20416666666666666,-0.034407833031945244
T2,logreg,3,1,0.38459770114942526,0.14034547773245407
T2,lgbm,3,1,0.29666666666666663,0.08580173755744497
T2,dummy,3,1,0.24710144927536232,0.07099981006156218
T2,logreg,3,1,0.3894230769230769,0.32548601333107374
T2,lgbm,3,1,0.35582010582010576,0.2049089629715779
T2,dummy,3,1,0.3125,0.24945678948160305
T2,logreg,3,1,0.6147323436797121,0.4371860029834422
T2,lgbm,3,1,0.5273809523809524,0.3197796024504198
T2,dummy,3,1,0.14347826086956522,-0.17771392852781667
T2,logreg,3,1,0.5421522921522921,0.39952060360785185
T2,lgbm,3,1,0.469896004378763,0.2878798180720033
T2,dummy,3,1,0.4125,0.3913891007383772
T2,logreg,3,2,0.48740842490842495,0.4002576238807919
T2,lgbm,3,2,0.3937001594896332,0.17672458256144136
T2,dummy,3,2,0.2791666666666667,0.06021370780590418
T2,logreg,3,2,0.4836323097192663,0.17886178861788618
T2,lgbm,3,2,0.5294871794871795,0.20194212954129745
T2,dummy,3,2,0.213768115942029,-0.0227199392196999
T2,logreg,3,2,0.28869047619047616,0.20362005954805917
T2,lgbm,3,2,0.19175627240143367,-0.09152226980685563
T2,dummy,3,2,0.2375,0.06021370780590418
T2,logreg,3,2,0.43200549450549447,0.38522519099469704
T2,lgbm,3,2,0.39725209080047785,0.5227627953374635
T2,dummy,3,2,0.25416666666666665,0.1075244782248289
T2,logreg,3,2,0.4127859477124183,0.2517221787994438
T2,lgbm,3,2,0.31205357142857143,0.1264138289626546
T2,dummy,3,2,0.3021739130434783,0.2178927297601926
T2,logreg,4,0,0.39713064713064716,0.2477219538223073
T2,lgbm,4,0,0.36346045595271603,0.15741933536096522
T2,dummy,4,0,0.3458333333333333,0.06021370780590418
T2,logreg,4,0,0.4464285714285714,0.23095326282754694
T2,lgbm,4,0,0.5682539682539682,0.2357856749277753
T2,dummy,4,0,0.30833333333333335,-0.034407833031945244
T2,logreg,4,0,0.29279891304347827,0.1904038818338644
T2,lgbm,4,0,0.42681704260651626,0.204189567788949
T2,dummy,4,0,0.2625,0.1075244782248289
T2,logreg,4,0,0.3865800865800866,0.2794430534452067
T2,lgbm,4,0,0.5091575091575091,0.6200866859657497
T2,dummy,4,0,0.2753623188405797,0.16844189747419144
T2,logreg,4,0,0.47433155080213907,0.27823088056007567
T2,lgbm,4,0,0.19960212201591512,-0.03654830149282658
T2,dummy,4,0,0.24202898550724639,0.07099981006156218
T2,logreg,4,1,0.3861300309597523,0.11781310266290397
T2,lgbm,4,1,0.40835464620630857,0.16045328744707765
T2,dummy,4,1,0.21570048309178744,-0.06957981386033095
T2,logreg,4,1,0.32196969696969696,0.07309862429305143
T2,lgbm,4,1,0.14,-0.16176540556122576
T2,dummy,4,1,0.24202898550724639,0.06954023290218914
T2,logreg,4,1,0.32142857142857145,0.2921575548900504
T2,lgbm,4,1,0.29633152173913047,0.025836224301373636
T2,dummy,4,1,0.2,-0.034407833031945244
T2,logreg,4,1,0.4622667780562517,0.21090797472728187
T2,lgbm,4,1,0.5236175115207373,0.22495896014540015
T2,dummy,4,1,0.2,-0.034407833031945244
T2,logreg,4,1,0.3388888888888889,0.22155883205444382
T2,lgbm,4,1,0.304953560371517,0.2117094691908372
T2,dummy,4,1,0.18333333333333335,-0.08171860345086997
T2,logreg,4,2,0.40576923076923077,0.13788782292220042
T2,lgbm,4,2,0.5914473684210526,0.4852805761299959
T2,dummy,4,2,0.2,-0.034407833031945244
T2,logreg,4,2,0.2374835309617918,0.019783891644294307
T2,lgbm,4,2,0.150997150997151,-0.1512753417799407
T2,dummy,4,2,0.275,0.15483524864375361
T2,logreg,4,2,0.4570357678303705,0.28197487806705235
T2,lgbm,4,2,0.4083333333333333,0.12876410213855738
T2,dummy,4,2,0.2036231884057971,-0.029361431669813188
T2,logreg,4,2,0.42032163742690054,0.2875258918970773
T2,lgbm,4,2,0.3930107526881721,0.34541596045157275
T2,dummy,4,2,0.3125,0.24945678948160305
T2,logreg,4,2,0.47916666666666663,0.3297776760938608
T2,lgbm,4,2,0.46275252525252525,0.27865859930690845
T2,dummy,4,2,0.23743961352657006,-0.0227199392196999
