model,frac,f1_macro,std,n_folds
logreg,0.25,0.5967533468137967,0.11294482735232268,25
logreg,0.5,0.62788244740526,0.10972123941898894,25
logreg,0.75,0.6322903564795019,0.1179921860101419,25
logreg,1.0,0.6503249015231815,0.09324237514823487,25
lgbm,0.25,0.33364390750726153,0.011021256691992743,25
lgbm,0.5,0.5289770877762888,0.14882173045025293,25
lgbm,0.75,0.5938283548703273,0.09435582207758411,25
lgbm,1.0,0.5959693708810351,0.14753791048420764,25
