variant,model,f1_macro,std
-comp,logreg,0.5735912104420403,0.0978642551449317
-comp,lgbm,0.5605091285164051,0.12790617462114678
-soc,logreg,0.6208087642755395,0.10710629802926945
-soc,lgbm,0.5973558065255751,0.11098540996047768
-sym,logreg,0.6129809542488323,0.11165147624113494
-sym,lgbm,0.6387040656191625,0.11873519906101138
full,logreg,0.6232870203677902,0.10366578701994368
full,lgbm,0.5991927590053281,0.11952093608566992
