task,scenario,model,seed,f1_macro,mcc,n_test
T4cls,indist_twodmatpedia,dummy,2,0.4838797657326596,-0.03221320985631048,1269
T4cls,indist_twodmatpedia,logreg,2,0.7369686816775036,0.49744250236148907,1269
T4cls,indist_twodmatpedia,lgbm,2,0.8190218496746746,0.638596341257656,1269
T4cls,indist_twodmatpedia,dummy,2,0.489951768488746,-0.02006865747732712,1269
T4cls,indist_twodmatpedia,logreg,2,0.7033903972872961,0.44568896099939026,1269
T4cls,indist_twodmatpedia,lgbm,2,0.8099909606650288,0.6199834756327578,1269
T4cls,indist_twodmatpedia,dummy,3,0.544280379731237,0.08860512963470117,1271
T4cls,indist_twodmatpedia,logreg,3,0.7305373499795011,0.48807033068651207,1271
T4cls,indist_twodmatpedia,lgbm,3,0.8459427329289271,0.6923734200042884,1271
T4cls,indist_twodmatpedia,dummy,3,0.47375976113918233,-0.05245413048794942,1269
T4cls,indist_twodmatpedia,logreg,3,0.7242478050358473,0.4763172297337242,1269
T4cls,indist_twodmatpedia,lgbm,3,0.8429475640020059,0.6862243342684285,1269
T4cls,indist_twodmatpedia,dummy,3,0.49981992897330896,-0.0003212059184201866,1271
T4cls,indist_twodmatpedia,logreg,3,0.7186908494774331,0.4668552738836817,1271
T4cls,indist_twodmatpedia,lgbm,3,0.8333739497048678,0.6673480284010668,1271
T4cls,indist_twodmatpedia,dummy,3,0.5061437758383096,0.012316815533295184,1269
T4cls,indist_twodmatpedia,logreg,3,0.7317527688619156,0.49841484245970397,1269
T4cls,indist_twodmatpedia,lgbm,3,0.836828637924162,0.673983419449949,1269
T4cls,indist_twodmatpedia,dummy,3,0.46546412611490995,-0.06903701066401396,1271
T4cls,indist_twodmatpedia,logreg,3,0.6870684348945219,0.4011308243690351,1271
T4cls,indist_twodmatpedia,lgbm,3,0.836279908543458,0.6732290208828617,1271
T4cls,indist_twodmatpedia,dummy,4,0.49173621065368567,-0.01648963056444225,1271
T4cls,indist_twodmatpedia,logreg,4,0.731804149896448,0.48471553298687253,1271
T4cls,indist_twodmatpedia,lgbm,4,0.8436950146627566,0.6873965357522797,1271
T4cls,indist_twodmatpedia,dummy,4,0.5142397795130914,0.028509552038606334,1269
T4cls,indist_twodmatpedia,logreg,4,0.6985804907507956,0.4291856388235251,1269
T4cls,indist_twodmatpedia,lgbm,4,0.8174917702707022,0.6350857743667123,1269
T4cls,indist_twodmatpedia,dummy,4,0.4836524923340624,-0.03265805521046432,1271
T4cls,indist_twodmatpedia,logreg,4,0.7223364477446919,0.4709883172444868,1271
T4cls,indist_twodmatpedia,lgbm,4,0.8361487776928953,0.6724022868112144,1271
T4cls,indist_twodmatpedia,dummy,4,0.5182877813504824,0.03660592029126191,1269
T4cls,indist_twodmatpedia,logreg,4,0.7349756904415818,0.5042925406348563,1269
T4cls,indist_twodmatpedia,lgbm,4,0.8376904977375565,0.6757565801904186,1269
T4cls,indist_twodmatpedia,dummy,4,0.5139664360326497,0.027973537212118427,1271
T4cls,indist_twodmatpedia,logreg,4,0.706983816661236,0.4409058062916251,1271
T4cls,indist_twodmatpedia,lgbm,4,0.8345236207145512,0.6690488484030179,1271
