run_stamp,task,model,seed,repeat,fold,f1_macro,mcc,bal_acc,n_test
20260809-204550,T1,dummy_stratified,0,1.0,4.0,0.4920634920634921,0.020601266687222692,0.5098039215686274,32.0
20260809-204550,T1,dummy_stratified,0,1.0,3.0,0.4156570363466915,-0.14896350576708434,0.4283088235294118,33.0
20260809-204550,T1,dummy_stratified,0,1.0,2.0,0.4771668219944082,-0.022917462425705283,0.48897058823529416,33.0
20260809-204550,T1,dummy_stratified,0,1.0,1.0,0.3541472506989748,-0.27500954910846337,0.36764705882352944,33.0
20260809-204550,T1,dummy_stratified,0,1.0,0.0,0.723205964585275,0.48126671093981094,0.7316176470588236,33.0
20260809-204550,T1,dummy_majority,0,1.0,4.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,0,1.0,3.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,0,1.0,2.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,0,1.0,1.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,0,1.0,0.0,0.34,0.0,0.5,33.0
20260809-204550,T1,lgbm,0,0.0,4.0,0.758082497212932,0.5620031593698284,0.7563025210084033,31.0
20260809-204550,T1,lgbm,0,0.0,3.0,0.6046082949308755,0.21033353531577265,0.6047794117647058,33.0
20260809-204550,T1,lgbm,0,0.0,1.0,0.5607843137254902,0.13945994111797608,0.5686274509803921,32.0
20260809-204550,T1,logreg,1,0.0,3.0,0.718475073313783,0.44971201491459334,0.723529411764706,32.0
20260809-204550,T1,lgbm,0,1.0,0.0,0.5814634146341464,0.2658228069708887,0.6139705882352942,33.0
20260809-204550,T1,lgbm,1,0.0,0.0,0.6001863932898416,0.22917462425705282,0.6102941176470589,33.0
20260809-204550,T1,dummy_stratified,2,0.0,4.0,0.4631578947368421,-0.06052275326688024,0.47058823529411764,34.0
20260809-204550,T1,dummy_stratified,2,0.0,2.0,0.4285714285714286,-0.11124684011100254,0.44705882352941173,32.0
20260809-204550,T1,dummy_stratified,2,0.0,1.0,0.4771668219944082,-0.022917462425705283,0.48897058823529416,33.0
20260809-204550,T1,dummy_stratified,2,0.0,0.0,0.5228070175438597,0.07978559231302818,0.5381944444444444,34.0
20260809-204550,T1,dummy_majority,2,0.0,4.0,0.3333333333333333,0.0,0.5,34.0
20260809-204550,T1,dummy_majority,2,0.0,3.0,0.3404255319148936,0.0,0.5,31.0
20260809-204550,T1,dummy_majority,2,0.0,2.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,2,0.0,1.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,2,0.0,0.0,0.3461538461538461,0.0,0.5,34.0
20260809-204550,T1,lgbm,1,2.0,4.0,0.6875,0.375,0.6875,32.0
20260809-204550,T1,lgbm,1,2.0,3.0,0.7117117117117118,0.4365641250653994,0.7117647058823529,32.0
20260809-204550,T1,lgbm,1,2.0,2.0,0.7408906882591093,0.5067911605056783,0.7411764705882353,32.0
20260809-204550,T1,lgbm,1,2.0,1.0,0.487510766580534,0.04858192401084479,0.5212418300653594,35.0
20260809-204550,T1,lgbm,1,2.0,0.0,0.5147058823529411,0.03321055820775358,0.5165441176470589,33.0
20260809-204550,T1,logreg,1,2.0,4.0,0.6235294117647059,0.2519763153394848,0.625,32.0
20260809-204550,T1,logreg,2,0.0,0.0,0.575,0.1668244202908771,0.5798611111111112,34.0
20260809-204550,T1,logreg,1,2.0,3.0,0.5555555555555556,0.11555252264060875,0.5568627450980392,32.0
20260809-204550,T1,logreg,2,0.0,1.0,0.5416666666666666,0.20674627127277811,0.5845588235294118,33.0
20260809-204550,T1,logreg,2,0.0,3.0,0.7732497387669801,0.5612263992588653,0.7770833333333333,31.0
20260809-204550,T1,dummy_stratified,2,1.0,2.0,0.5386766076421249,0.10312858091567377,0.5496323529411764,33.0
20260809-204550,T1,logreg,1,0.0,4.0,0.716256157635468,0.43393264597022163,0.7156862745098038,32.0
20260809-204550,T1,dummy_stratified,2,1.0,1.0,0.6001863932898416,0.22917462425705282,0.6102941176470589,33.0
20260809-204550,T1,dummy_stratified,2,1.0,0.0,0.4771668219944082,-0.022917462425705283,0.48897058823529416,33.0
20260809-204550,T1,dummy_majority,2,1.0,4.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,2,1.0,3.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,2,1.0,2.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,2,1.0,1.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,2,1.0,0.0,0.34,0.0,0.5,33.0
20260809-204550,T1,lgbm,2,0.0,4.0,0.6007226738934056,0.2581988897471611,0.6176470588235294,34.0
20260809-204550,T1,lgbm,2,0.0,3.0,0.7394957983193278,0.48527094672759025,0.7395833333333333,31.0
