feature,shap,coef,shap_rank,coef_rank
comp_minimum_Number,0.03725399788919513,0.1139879306346529,53.0,25.0
comp_maximum_Number,0.04440818129702374,0.05166935367418713,49.0,91.0
comp_range_Number,0.061473396237781926,0.08734741493837929,45.0,48.0
comp_mean_Number,0.09347225834543064,0.05857917195658626,36.0,84.0
comp_avg_dev_Number,0.1394056489770258,0.06581420886626775,25.0,68.0
comp_mode_Number,0.0035520641658622364,0.041167696395928,97.0,115.0
comp_minimum_MendeleevNumber,0.01376409002432849,0.06875753630662093,73.0,64.0
comp_maximum_MendeleevNumber,0.011331207647883677,0.044382222764490664,77.0,105.0
comp_range_MendeleevNumber,0.20084185498963844,0.0716104889891613,12.0,58.0
comp_mean_MendeleevNumber,0.4375017406812907,0.09573131729460528,3.0,44.0
comp_avg_dev_MendeleevNumber,0.2003975161449625,0.13246250471154594,13.0,15.0
comp_mode_MendeleevNumber,0.02765584704076242,0.04313471518276236,59.0,111.0
comp_minimum_AtomicWeight,0.009873355629091184,0.06755968596040005,81.0,66.0
comp_maximum_AtomicWeight,0.015550039263618552,0.04598620480254161,69.0,102.0
comp_range_AtomicWeight,0.09345820935837802,0.054672967428243464,37.0,88.0
comp_mean_AtomicWeight,0.1672453280671341,0.062290204482055994,16.0,73.0
comp_avg_dev_AtomicWeight,0.16548174553580602,0.10410608559323849,17.0,37.0
comp_mode_AtomicWeight,0.0006134959480832727,0.04833322122147285,108.0,98.0
comp_minimum_MeltingT,0.020290287653832218,0.04697663424741461,64.0,100.0
comp_maximum_MeltingT,0.1895391076593583,0.10960119832121033,14.0,28.0
comp_range_MeltingT,0.4652365582658418,0.11007070566749838,2.0,27.0
comp_mean_MeltingT,0.2711196568494039,0.061050547077750164,7.0,74.0
comp_avg_dev_MeltingT,0.1331907841669423,0.045784436042959266,27.0,103.0
comp_mode_MeltingT,0.0010928462991185138,0.09895060374846697,105.0,40.0
comp_minimum_Column,0.009532557457014708,0.02440298063438844,82.0,126.0
comp_maximum_Column,0.00117048408339501,0.0606531105527753,104.0,76.0
comp_range_Column,0.024504333619264088,0.043281684311943236,61.0,110.0
comp_mean_Column,0.11682420699368336,0.04455384881403287,31.0,104.0
comp_avg_dev_Column,0.05743572369062946,0.03183839585351466,46.0,123.0
comp_mode_Column,0.0003198833067194182,0.057724168172527054,114.0,86.0
comp_minimum_Row,0.0005157320966849312,0.03215646321288137,110.0,122.0
comp_maximum_Row,0.001707806356797802,0.057971823307612816,103.0,85.0
comp_range_Row,0.01355071666496627,0.044102903848915354,75.0,108.0
comp_mean_Row,0.029159123426861,0.05108224775346484,58.0,93.0
comp_avg_dev_Row,0.040653572841725084,0.04863725135024835,51.0,96.0
comp_mode_Row,0.00021714407233844993,0.07496190836786355,117.0,55.0
comp_minimum_CovalentRadius,0.02243858507439438,0.07391134363347507,62.0,56.0
comp_maximum_CovalentRadius,0.09365361100183062,0.19244608172871153,35.0,4.0
comp_range_CovalentRadius,0.06831454651235233,0.04361440071687024,42.0,109.0
comp_mean_CovalentRadius,0.14612970737128006,0.048356510229031785,23.0,97.0
comp_avg_dev_CovalentRadius,0.27095875645692247,0.0649558113325895,8.0,69.0
comp_mode_CovalentRadius,0.0002911749053480995,0.08255502694956506,115.0,50.0
comp_minimum_Electronegativity,0.27662146903666446,0.04722077183951672,6.0,99.0
comp_maximum_Electronegativity,0.0023697762937961954,0.03123799781645898,98.0,124.0
comp_range_Electronegativity,0.03541135420797106,0.034091638632795435,54.0,121.0
comp_mean_Electronegativity,0.15612750537391176,0.10371408459448833,19.0,38.0
comp_avg_dev_Electronegativity,0.21585479858639356,0.05609091190702216,11.0,87.0
comp_mode_Electronegativity,0.005408478936919921,0.07625651429655451,89.0,54.0
comp_minimum_NsValence,0.0058363752007663545,0.07141056373556517,86.0,59.0
comp_maximum_NsValence,0.0,0.0,135.5,136.0
comp_range_NsValence,0.002323816743021143,0.07141056373556501,99.0,60.0
comp_mean_NsValence,0.027317406246025935,0.060500624224689596,60.0,77.0
comp_avg_dev_NsValence,0.013634527170754925,0.04673127266519499,74.0,101.0
comp_mode_NsValence,0.0001645245612236715,0.0606835162920564,120.0,75.0
comp_minimum_NpValence,0.0,0.0,135.5,136.0
