model,f1_material_level,ci_lo,ci_hi,n_boot_valid
dummy_stratified,0.43474264705882354,0.3562351140280841,0.5111677101996559,10000
lgbm,0.63990919578728,0.5226224814930165,0.7667070871370572,10000
logreg,0.6461309523809524,0.568644457456163,0.7253390706048598,10000
