formula,qx,qy,sg,theta,phi,label4,label2,label_src,group_id,uid,uid_ambiguous,Qmin_raw,bandwidth,_merge
,,,,,,,,,,1RhI2-1,,"[0.19047619047619047, 0.19047619047619047, 0.0]",2.300350022695241,right_only
,,,,,,,,,,1SSeV-1,,"[0.0, 0.0, 0.0]",3.913513610527275,right_only
,,,,,,,,,,1SSeV-2,,"[0.0, 0.0, 0.0]",0.7996639104703718,right_only
VSTe,0.0,0.0,P3m1,84.0,330.0,FM,collinear,Q=Gamma,P3m1|V,1STeV-1,True,"[0.0, 0.0, 0.0]",22.210231373133382,both
,,,,,,,,,,1STeV-2,,"[0.0, 0.0, 0.0]",7.864508347996235,right_only
Au2VI4S,0.0,0.0,P1,58.0,82.0,FM,collinear,Q=Gamma,P1|Au-V,1SVAu2I4-1,False,,,left_only
,,,,,,,,,,1ScBr2-1,,"[0.047619047619047616, 0.047619047619047616, 0.0]",0.9009624739402255,right_only
,,,,,,,,,,1ScCl2-1,,"[0.05, 0.0, 0.0]",1.6228792793455682,right_only
ScH2,0.0,0.0,P-6m2,90.0,62.0,FM,collinear,Q=Gamma,P-6m2|Sc,1ScH2-1,False,"[0.0, 0.0, 0.0]",53.45091676876734,both
,,,,,,,,,,1ScI2-2,,"[0.0, 0.0, 0.0]",0.06636359437095507,right_only
ScO2,0.0,0.0,P-3m1,90.0,118.0,FM,collinear,Q=Gamma,P-3m1|Sc,1ScO2-1,False,"[0.0, 0.0, 0.0]",88.45665538761338,both
ScO2,0.0,0.0,P-6m2,90.0,126.0,FM,collinear,Q=Gamma,P-6m2|Sc,1ScO2-2,False,"[0.0, 0.0, 0.0]",8.307934323614319,both
ScS2,0.0,0.0,P-6m2,90.0,176.0,FM,collinear,Q=Gamma,P-6m2|Sc,1ScS2-2,False,"[0.0, 0.0, 0.0]",6.620184655929506,both
ScSe2,0.0,0.0,P-6m2,90.0,0.0,FM,collinear,Q=Gamma,P-6m2|Sc,1ScSe2-2,False,"[0.0, 0.0, 0.0]",7.1463132338145385,both
VSeTe,0.0,0.0,P3m1,90.0,240.0,FM,collinear,Q=Gamma,P3m1|V,1SeTeV-1,True,"[0.0, 0.0, 0.0]",22.662350368513273,both
VSeTe,0.0,0.0,P3m1,90.0,300.0,FM,collinear,Q=Gamma,P3m1|V,1SeTeV-2,True,"[0.0, 0.0, 0.0]",9.566821843815632,both
TaO2,0.0,0.0,P-4m2,0.0,0.0,DM_SS,non_collinear,Table1,P-4m2|Ta,1TaO2-3,False,"[0.0, 0.0, 0.0]",18.66116732648493,both
Al2VS4,0.3333333333333333,0.3333333333333333,P-3m1,2.0,120.0,NC,non_collinear,Q-based,P-3m1|V,1VAl2S4-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",127.85104533692504,both
Al2VSe4,0.3333333333333333,0.3333333333333333,P-3m1,90.0,242.0,NC,non_collinear,Q-based,P-3m1|V,1VAl2Se4-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",60.684964220634185,both
Al2VTe4,0.1666666666666666,0.1666666666666666,P-3m1,90.0,150.0,NC,non_collinear,Q-based,P-3m1|V,1VAl2Te4-1,False,"[0.16666666666666666, 0.16666666666666666, 0.0]",12.02137345522658,both
VBr2,0.3333333333333333,0.3333333333333333,P-3m1,88.0,42.0,NC,non_collinear,Q-based,P-3m1|V,1VBr2-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",36.142693288864436,both
VCl2,0.3333333333333333,0.3333333333333333,P-3m1,90.0,58.0,NC,non_collinear,Q-based,P-3m1|V,1VCl2-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",60.02074149929726,both
Ga2VS4,0.3333333333333333,0.3333333333333333,P-3m1,88.0,148.0,NC,non_collinear,Q-based,P-3m1|V,1VGa2S4-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",92.19402264457699,both
Ga2VSe4,0.2857142857142857,0.2857142857142857,P-3m1,90.0,328.0,NC,non_collinear,Q-based,P-3m1|V,1VGa2Se4-1,False,"[0.2857142857142857, 0.2857142857142857, 0.0]",37.07461709405635,both
Ga2VTe4,0.2,0.0,P-3m1,90.0,212.0,NC,non_collinear,Q-based,P-3m1|V,1VGa2Te4-1,False,"[0.2, 0.0, 0.0]",11.627537746797145,both
VI2,0.1428571428571428,0.1428571428571428,P-3m1,42.0,324.0,NC,non_collinear,Q-based,P-3m1|V,1VI2-1,False,"[0.14285714285714285, 0.14285714285714285, 0.0]",9.859059738230869,both
In2VSe4,0.0,0.0,P-3m1,88.0,208.0,FM,collinear,Q=Gamma,P-3m1|V,1VIn2Se4-1,False,"[0.0, 0.0, 0.0]",16.892621300634403,both
In2VTe4,0.0,0.0,P-3m1,90.0,96.0,FM,collinear,Q=Gamma,P-3m1|V,1VIn2Te4-1,False,"[0.0, 0.0, 0.0]",30.96239332866446,both
VO2,0.0,0.0,P-4m2,0.0,0.0,FM,collinear,Q=Gamma,P-4m2|V,1VO2-2,False,"[0.0, 0.0, 0.0]",63.99993202631293,both
,,,,,,,,,,1VO2-3,,"[0.0, 0.0, 0.0]",7.638560842018194,right_only
,,,,,,,,,,1VS2-1,,"[0.07142857142857145, 0.07142857142857145, 0.0]",3.3726334240924416,right_only
,,,,,,,,,,1VS2-2,,"[0.0, 0.0, 0.0]",1.3120380227356065,right_only
VS2,0.0,0.0,P-4m2,90.0,270.0,FM,collinear,Q=Gamma,P-4m2|V,1VS2-3,False,"[0.0, 0.0, 0.0]",70.2417077531372,both
VSe2,0.0,0.0,P-6m2,90.0,270.0,FM,collinear,Q=Gamma,P-6m2|V,1VSe2-1,False,"[0.0, 0.0, 0.0]",19.09986395439489,both
,,,,,,,,,,1VSe2-2,,"[0.0, 0.0, 0.0]",2.149745352948429,right_only
VSe2,0.0,0.0,P-4m2,90.0,312.0,FM,collinear,Q=Gamma,P-4m2|V,1VSe2-3,False,"[0.0, 0.0, 0.0]",111.679658389928,both
VTe2,0.0,0.0,P-6m2,88.0,270.0,FM,collinear,Q=Gamma,P-6m2|V,1VTe2-1,False,"[0.0, 0.0, 0.0]",41.6739060912974,both
,,,,,,,,,,1YBr2-1,,"[0.2, 0.0, 0.0]",10.700778502444663,right_only
YCl2,0.2,0.0,P-6m2,0.0,0.0,NC,non_collinear,Q-based,P-6m2|Y,1YCl2-1,False,"[0.2, 0.0, 0.0]",24.708920274106205,both
,,,,,,,,,,1YI2-1,,"[0.0, 0.0, 0.0]",0.021392395360919636,right_only
