db,thr=0.05,thr=0.1,thr=0.5,band_fraction
c2db,0.3219858156028369,0.32180851063829785,0.31347517730496455,0.00851063829787234
jarvis2d,0.1931097008159565,0.19220308250226656,0.1813236627379873,0.011786038077969175
twodmatpedia,0.274130058258542,0.2673594709494568,0.2396472996378523,0.034482758620689655
