model,seed,rep,fold,f1_macro,mcc,bal_acc,cfg,sec,vram_mb
alignn_lite,3,1,3,0.6001863932898416,0.2105798931586654,0.6029411764705883,"{""node_d"": 32, ""edge_d"": 32, ""n_layer"": 2, ""fc_d"": 64, ""lr"": 0.003, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 32}",180.0,140.2
alignn_lite,3,1,4,0.5270935960591133,0.0636284762975777,0.53125,"{""node_d"": 64, ""edge_d"": 64, ""n_layer"": 4, ""fc_d"": 64, ""lr"": 0.003, ""weight_decay"": 0.0, ""dropout"": 0.1, ""batch"": 32}",169.4,274.8
alignn_lite,3,2,0,0.6360294117647058,0.2720588235294117,0.6360294117647058,"{""node_d"": 128, ""edge_d"": 32, ""n_layer"": 3, ""fc_d"": 64, ""lr"": 0.001, ""weight_decay"": 0.0, ""dropout"": 0.0, ""batch"": 16}",167.6,190.7
alignn_lite,3,2,1,0.7047619047619047,0.4482499640859219,0.7145833333333333,"{""node_d"": 32, ""edge_d"": 32, ""n_layer"": 3, ""fc_d"": 128, ""lr"": 0.003, ""weight_decay"": 0.0001, ""dropout"": 0.1, ""batch"": 16}",175.4,250.2
alignn_lite,3,2,2,0.6458333333333333,0.2916666666666667,0.6458333333333333,"{""node_d"": 128, ""edge_d"": 32, ""n_layer"": 2, ""fc_d"": 128, ""lr"": 0.001, ""weight_decay"": 1e-05, ""dropout"": 0.0, ""batch"": 32}",129.9,148.6
alignn_lite,3,2,3,0.6091954022988506,0.2282455960058202,0.6111111111111112,"{""node_d"": 64, ""edge_d"": 64, ""n_layer"": 2, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.0, ""batch"": 16}",143.3,221.6
alignn_lite,3,2,4,0.3764102564102564,-0.2085144140570747,0.40625,"{""node_d"": 64, ""edge_d"": 32, ""n_layer"": 3, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.3, ""batch"": 16}",193.4,258.7
alignn_lite,4,0,0,0.5270935960591133,0.0636284762975777,0.53125,"{""node_d"": 32, ""edge_d"": 64, ""n_layer"": 2, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 16}",174.2,255.5
alignn_lite,4,0,1,0.5607843137254902,0.1215686274509803,0.5607843137254902,"{""node_d"": 64, ""edge_d"": 32, ""n_layer"": 3, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.3, ""batch"": 16}",154.6,153.4
alignn_lite,4,0,2,0.4684385382059801,0.0300828418798093,0.5117647058823529,"{""node_d"": 128, ""edge_d"": 64, ""n_layer"": 2, ""fc_d"": 128, ""lr"": 0.003, ""weight_decay"": 0.0, ""dropout"": 0.0, ""batch"": 32}",197.9,238.9
alignn_lite,4,0,3,0.4327603640040445,-0.0584282940553503,0.4761029411764705,"{""node_d"": 32, ""edge_d"": 64, ""n_layer"": 2, ""fc_d"": 128, ""lr"": 0.003, ""weight_decay"": 0.0001, ""dropout"": 0.0, ""batch"": 16}",153.2,205.6
alignn_lite,4,0,4,0.4499586435070306,-0.0811273914314836,0.4607843137254902,"{""node_d"": 32, ""edge_d"": 64, ""n_layer"": 2, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 16}",156.7,214.7
alignn_lite,4,1,0,0.4417293233082706,-0.1031285809156737,0.4503676470588235,"{""node_d"": 128, ""edge_d"": 32, ""n_layer"": 2, ""fc_d"": 32, ""lr"": 0.003, ""weight_decay"": 1e-05, ""dropout"": 0.1, ""batch"": 16}",159.7,232.9
alignn_lite,4,1,1,0.4367916303400174,-0.1069901231277282,0.4479166666666666,"{""node_d"": 64, ""edge_d"": 32, ""n_layer"": 3, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.1, ""batch"": 16}",226.8,155.7
alignn_lite,4,1,2,0.4231177094379639,-0.108465228909328,0.4529411764705883,"{""node_d"": 32, ""edge_d"": 64, ""n_layer"": 3, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.1, ""batch"": 32}",191.3,245.3
alignn_lite,4,1,3,0.5079365079365079,0.0256494588021288,0.5125,"{""node_d"": 64, ""edge_d"": 64, ""n_layer"": 3, ""fc_d"": 64, ""lr"": 0.003, ""weight_decay"": 0.0001, ""dropout"": 0.0, ""batch"": 32}",200.7,202.6
alignn_lite,4,1,4,0.5492424242424242,0.2182178902359924,0.5882352941176471,"{""node_d"": 128, ""edge_d"": 64, ""n_layer"": 3, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.1, ""batch"": 32}",172.8,208.1
alignn_lite,4,2,0,0.5607843137254902,0.1215686274509803,0.5607843137254902,"{""node_d"": 32, ""edge_d"": 32, ""n_layer"": 4, ""fc_d"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""dropout"": 0.3, ""batch"": 16}",199.3,134.3
alignn_lite,4,2,1,0.5076923076923077,0.108465228909328,0.5470588235294118,"{""node_d"": 32, ""edge_d"": 64, ""n_layer"": 2, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.1, ""batch"": 16}",157.7,220.2
alignn_lite,4,2,2,0.6190476190476191,0.2581988897471611,0.625,"{""node_d"": 64, ""edge_d"": 32, ""n_layer"": 4, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 16}",281.0,270.9
alignn_lite,4,2,3,0.652093023255814,0.3692668746196414,0.6631944444444444,"{""node_d"": 128, ""edge_d"": 32, ""n_layer"": 3, ""fc_d"": 64, ""lr"": 0.003, ""weight_decay"": 0.0, ""dropout"": 0.1, ""batch"": 16}",209.6,252.7
alignn_lite,4,2,4,0.46875,-0.0592348877759092,0.4705882352941176,"{""node_d"": 64, ""edge_d"": 32, ""n_layer"": 4, ""fc_d"": 32, ""lr"": 0.003, ""weight_decay"": 1e-05, ""dropout"": 0.0, ""batch"": 16}",259.9,251.1
alignn_lite,0,0,0,0.6458333333333333,0.29617443887954614,0.6470588235294118,"{""node_d"": 64, ""edge_d"": 64, ""n_layer"": 3, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.3, ""batch"": 16}",184.2,227.2
alignn_lite,0,0,1,0.5076923076923077,0.04222003309207491,0.5196078431372549,"{""node_d"": 64, ""edge_d"": 64, ""n_layer"": 2, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.3, ""batch"": 32}",151.0,250.1
alignn_lite,0,0,2,0.7332170880557978,0.4780914437337574,0.7352941176470589,"{""node_d"": 64, ""edge_d"": 32, ""n_layer"": 2, ""fc_d"": 64, ""lr"": 0.001, ""weight_decay"": 1e-05, ""dropout"": 0.0, ""batch"": 16}",185.5,186.2
alignn_lite,0,0,3,0.6278195488721805,0.27500954910846337,0.6323529411764706,"{""node_d"": 128, ""edge_d"": 64, ""n_layer"": 2, ""fc_d"": 32, ""lr"": 0.003, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 32}",151.9,184.8
alignn_lite,0,0,4,0.7394957983193278,0.4789915966386555,0.7394957983193278,"{""node_d"": 128, ""edge_d"": 32, ""n_layer"": 2, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.3, ""batch"": 16}",164.2,206.6
