model,seed,f1
dummy_stratified,0,0.5082622601279319
dummy_stratified,1,0.4851389381084405
dummy_stratified,2,0.48064167567118277
dummy_stratified,3,0.47553175665625463
dummy_stratified,4,0.4805721738050386
lgbm,0,0.5934892175493679
lgbm,1,0.6092330603127327
lgbm,2,0.6158520715681455
lgbm,3,0.6091101694915254
lgbm,4,0.6279734727186331
logreg,0,0.6361052000909034
logreg,1,0.6377264829982626
logreg,2,0.6543801652892562
logreg,3,0.6595437876810243
logreg,4,0.6520235756385069
