subset,n,centro_nc,centro_col,noncentro_nc,noncentro_col,odds_ratio,ci_lo,ci_hi,fisher_p,frac_nc_centro,frac_nc_noncentro
all materials,164,41,25,44,54,2.0127272727272727,1.058912713023183,3.751704746984677,0.03836135971344319,0.6212121212121212,0.4489795918367347
DM spirals removed,149,41,25,29,54,3.053793103448276,1.5442580958710794,5.853894865156604,0.0015982905942186817,0.6212121212121212,0.3493975903614458
