pair,p_raw,delta,mean_diff,holm_p
logreg vs cgcnn,1.1409561159458096e-08,0.5272888888888889,0.10963314137938136,2.2819122318916193e-08
lgbm vs cgcnn,1.3066095191012127e-07,0.4624,0.10102812357982395,1.3066095191012127e-07
