feature,shap,coef,group,shap_rank,coef_rank,in_panel_a_top15
comp_range_NValence,0.1193570026275226,0.0688978437817424,composition,30.0,62.0,False
comp_mean_NValence,0.0987252804376115,0.1143274508687076,composition,34.0,23.0,False
comp_avg_dev_NValence,0.1638887551831184,0.1586807991433087,composition,18.0,8.0,False
comp_mode_NValence,0.001914136191849,0.0285084966638523,composition,102.0,125.0,False
comp_minimum_NsUnfilled,0.0,0.0,composition,135.5,136.0,False
comp_maximum_NsUnfilled,0.0045970987812633,0.0624002723395938,composition,91.0,71.5,False
comp_range_NsUnfilled,0.000575442141705,0.0624002723395938,composition,109.0,71.5,False
comp_mean_NsUnfilled,0.0303273350645935,0.107277573314888,composition,56.0,32.0,False
comp_avg_dev_NsUnfilled,0.0041076987135556,0.0905803370163388,composition,94.0,47.0,False
comp_mode_NsUnfilled,0.0,0.0138446669502498,composition,135.5,127.0,False
comp_minimum_NpUnfilled,0.0,0.0,composition,135.5,136.0,False
comp_maximum_NpUnfilled,0.0169568753155418,0.1298756588986556,composition,67.0,16.5,False
comp_range_NpUnfilled,0.0060116406290966,0.1298756588986556,composition,85.0,16.5,False
comp_mean_NpUnfilled,0.0148927326869418,0.0686740169337341,composition,70.0,65.0,False
comp_avg_dev_NpUnfilled,0.4326421885962897,0.0772634077884118,composition,4.0,53.0,True
comp_mode_NpUnfilled,1.0530566059918923e-05,0.1449501495401987,composition,125.0,9.0,False
comp_minimum_NdUnfilled,0.0,0.0,composition,135.5,136.0,False
comp_maximum_NdUnfilled,0.006504925460489,0.0443817590170013,composition,84.0,106.5,False
comp_range_NdUnfilled,0.003648820874286,0.0443817590170013,composition,96.0,106.5,False
comp_mean_NdUnfilled,0.0500358393206603,0.0785195480575766,composition,48.0,51.0,False
comp_avg_dev_NdUnfilled,0.0398617386705839,0.0593953142575041,composition,52.0,83.0,False
comp_mode_NdUnfilled,0.0,0.0,composition,135.5,136.0,False
comp_minimum_NfUnfilled,0.0,0.0,composition,135.5,136.0,False
comp_maximum_NfUnfilled,0.0,0.0,composition,135.5,136.0,False
comp_range_NfUnfilled,0.0,0.0,composition,135.5,136.0,False
comp_mean_NfUnfilled,0.0,0.0,composition,135.5,136.0,False
comp_avg_dev_NfUnfilled,0.0,0.0,composition,135.5,136.0,False
comp_mode_NfUnfilled,0.0,0.0,composition,135.5,136.0,False
comp_minimum_NUnfilled,0.0010628068732429,0.1142000225200332,composition,106.0,24.0,False
comp_maximum_NUnfilled,0.0045555449040049,0.0784830313750165,composition,92.0,52.0,False
comp_range_NUnfilled,0.0109963031557514,0.073520609945253,composition,78.0,57.0,False
comp_mean_NUnfilled,0.142726407700802,0.0604561653372295,composition,24.0,78.0,False
comp_avg_dev_NUnfilled,0.1510286433219253,0.1446118867758777,composition,22.0,10.0,False
comp_mode_NUnfilled,0.0002848615961324,0.1095892803027882,composition,116.0,29.0,False
comp_minimum_GSvolume_pa,0.1068428683551377,0.0971617851341143,composition,33.0,42.0,False
comp_maximum_GSvolume_pa,0.0107339166375571,0.0372371090122087,composition,79.0,119.0,False
comp_range_GSvolume_pa,0.1357991542103186,0.0412485062560412,composition,26.0,114.0,False
comp_mean_GSvolume_pa,0.0681516984139171,0.0356694571503375,composition,43.0,120.0,False
comp_avg_dev_GSvolume_pa,0.1246475178810379,0.0688581535596094,composition,28.0,63.0,False
comp_mode_GSvolume_pa,0.0049878105475836,0.0536630090422649,composition,90.0,90.0,False
comp_minimum_GSbandgap,0.0,0.0,composition,135.5,136.0,False
comp_maximum_GSbandgap,0.0523545260513562,0.0414681497082299,composition,47.0,112.5,False
comp_range_GSbandgap,0.0117722301550897,0.0414681497082299,composition,76.0,112.5,False
comp_mean_GSbandgap,0.11431315775531,0.1173641708308411,composition,32.0,20.0,False
comp_avg_dev_GSbandgap,0.241022644625176,0.1787384647542702,composition,9.0,6.0,True
comp_mode_GSbandgap,0.014086440256217,0.060007002490464,composition,72.0,80.0,False
comp_minimum_GSmagmom,0.0,0.0,composition,135.5,136.0,False
comp_maximum_GSmagmom,0.0415286734731975,0.1438723520911788,composition,50.0,11.5,False
comp_range_GSmagmom,0.0143773793745346,0.1438723520911788,composition,71.0,11.5,False
comp_mean_GSmagmom,0.0867557578115742,0.2074487341257038,composition,38.0,2.0,False
comp_avg_dev_GSmagmom,0.0218117629898444,0.1903940114253215,composition,63.0,5.0,False
comp_mode_GSmagmom,0.0,0.0,composition,135.5,136.0,False
comp_minimum_SpaceGroupNumber,0.0054731718591386,0.0674420977502142,composition,88.0,67.0,False
comp_maximum_SpaceGroupNumber,0.1197879809721812,0.1049782319899636,composition,29.0,36.0,False
comp_range_SpaceGroupNumber,0.067977189165259,0.0829269799571037,composition,44.0,49.0,False
comp_mean_SpaceGroupNumber,0.1895025345905749,0.0544143415009694,composition,15.0,89.0,True
comp_avg_dev_SpaceGroupNumber,0.1535022193046067,0.1050625216268432,composition,21.0,35.0,False
comp_mode_SpaceGroupNumber,0.0310681478974481,0.0628842611945727,composition,55.0,70.0,False
soc_anion_Z_max,0.0022852848810248,0.0601348951835105,SOC proxy,100.0,79.0,False
soc_anion_Z_mean,0.0090532695295624,0.0398046058479635,SOC proxy,83.0,116.0,False
soc_anion_Z_wmean,0.0044291199724628,0.0506283697399248,SOC proxy,93.0,95.0,False
soc_heavy_anion_frac,0.0006380471748032,0.0508532394903074,SOC proxy,107.0,94.0,False
sym_has_inversion,0.4732551412555645,0.2149703106333113,symmetry,1.0,1.0,True
sym_cs_hexagonal,0.0020603010525012,0.0963312605199057,symmetry,101.0,43.0,False
sym_cs_monoclinic,0.0039831321703064,0.1410386483550209,symmetry,95.0,13.0,False
sym_cs_orthorhombic,2.154623241042373e-05,0.0597513949412485,symmetry,123.0,82.0,False
sym_cs_tetragonal,0.0166712210819544,0.1364181102807439,symmetry,68.0,14.0,False
sym_cs_triclinic,7.859645261485772e-05,0.2041628719322264,symmetry,122.0,3.0,False
sym_cs_trigonal,0.2273604367174478,0.1081498228389689,symmetry,10.0,31.0,True
sym_mag_species_Z,0.4015482734267133,0.1589264192667596,symmetry,5.0,7.0,True
