model,fraction_pct,mean_f1,dispersion,dispersion_kind
logreg,25.0,0.5967533468137967,0.1129448273523226,std
logreg,50.0,0.62788244740526,0.1097212394189889,std
logreg,75.0,0.6322903564795019,0.1179921860101419,std
logreg,100.0,0.6503249015231815,0.0932423751482348,std
lgbm,25.0,0.3336439075072615,0.0110212566919927,std
lgbm,50.0,0.5289770877762888,0.1488217304502529,std
lgbm,75.0,0.5938283548703273,0.0943558220775841,std
lgbm,100.0,0.5959693708810351,0.1475379104842076,std
